"order_id","customer_id","customer_email","customer_name","status","currency","payment_method","payment_method_title","date_created","date_paid","date_completed","order_total","order_subtotal","order_tax_total","order_shipping_total","order_discount_total","billing_first_name","billing_last_name","billing_email","billing_address_1","billing_address_2","billing_city","billing_state","billing_postcode","billing_country","billing_phone","shipping_first_name","shipping_last_name","shipping_email","shipping_address_1","shipping_address_2","shipping_city","shipping_state","shipping_postcode","shipping_country","shipping_phone","item_product_id","item_variant_id","item_title","item_quantity","item_price","item_total"
1,1,"ava.wilson@email.example","Ava Wilson","completed","EUR","bacs","Bank Transfer","2024-05-01T12:42:09.619Z","2024-05-01T20:49:52.343Z","2024-05-05T03:59:45.519Z",7677.1,6255,1376.1,46,0,"Ava","Wilson","ava.wilson@email.example","Cardiff Street 89","","Edinburgh","","LS1 1AA","GB","+44311700377","Ava","Wilson","ava.wilson@email.example","Cardiff Street 89","","Edinburgh","","LS1 1AA","GB","+44311700377",22,,,2,2362.5,4725
1,1,"ava.wilson@email.example","Ava Wilson","completed","EUR","bacs","Bank Transfer","2024-05-01T12:42:09.619Z","2024-05-01T20:49:52.343Z","2024-05-05T03:59:45.519Z",7677.1,6255,1376.1,46,0,"Ava","Wilson","ava.wilson@email.example","Cardiff Street 89","","Edinburgh","","LS1 1AA","GB","+44311700377","Ava","Wilson","ava.wilson@email.example","Cardiff Street 89","","Edinburgh","","LS1 1AA","GB","+44311700377",48,,,2,765,1530
2,2,"jules.leroy@email.example","Jules Leroy","completed","EUR","bacs","Bank Transfer","2024-12-29T16:06:32.801Z","2024-12-29T23:23:20.236Z","2025-01-02T11:33:07.448Z",9831.52,8016,1763.52,52,0,"Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844","Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844",65,,,2,27,54
2,2,"jules.leroy@email.example","Jules Leroy","completed","EUR","bacs","Bank Transfer","2024-12-29T16:06:32.801Z","2024-12-29T23:23:20.236Z","2025-01-02T11:33:07.448Z",9831.52,8016,1763.52,52,0,"Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844","Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844",49,,,3,2550,7650
2,2,"jules.leroy@email.example","Jules Leroy","completed","EUR","bacs","Bank Transfer","2024-12-29T16:06:32.801Z","2024-12-29T23:23:20.236Z","2025-01-02T11:33:07.448Z",9831.52,8016,1763.52,52,0,"Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844","Jules","Leroy","jules.leroy@email.example","Rue de Nice 71","","Marseille","","67000","FR","+33855733844",24,,,1,312,312
3,3,"leonardo.ferrari@email.example","Leonardo Ferrari","completed","EUR","bacs","Bank Transfer","2025-04-02T15:13:19.217Z","2025-04-03T14:33:48.473Z","2025-04-06T20:23:50.500Z",1484.125,1181.25,259.875,43,0,"Leonardo","Ferrari","leonardo.ferrari@email.example","Via Milano 58","","Firenze","","10100","IT","+39701476071","Leonardo","Ferrari","leonardo.ferrari@email.example","Via Milano 58","","Firenze","","10100","IT","+39701476071",32,,,3,393.75,1181.25
4,4,"lucas.dubois@email.example","Lucas Dubois","completed","EUR","bacs","Bank Transfer","2024-06-12T02:46:45.612Z","2024-06-12T15:04:39.054Z","2024-06-16T10:35:36.387Z",1184.26,933,205.26,46,0,"Lucas","Dubois","lucas.dubois@email.example","Rue de Strasbourg 92","","Toulouse","","31000","FR","+33645047102","Lucas","Dubois","lucas.dubois@email.example","Rue de Strasbourg 92","","Toulouse","","31000","FR","+33645047102",30,,,3,273,819
4,4,"lucas.dubois@email.example","Lucas Dubois","completed","EUR","bacs","Bank Transfer","2024-06-12T02:46:45.612Z","2024-06-12T15:04:39.054Z","2024-06-16T10:35:36.387Z",1184.26,933,205.26,46,0,"Lucas","Dubois","lucas.dubois@email.example","Rue de Strasbourg 92","","Toulouse","","31000","FR","+33645047102","Lucas","Dubois","lucas.dubois@email.example","Rue de Strasbourg 92","","Toulouse","","31000","FR","+33645047102",78,,,2,57,114
5,5,"olivia.johnson@email.example","Olivia Johnson","completed","EUR","bacs","Bank Transfer","2025-03-23T00:49:26.393Z","2025-03-23T05:37:15.580Z","2025-03-23T12:46:45.937Z",13555.55,11077.5,2437.05,41,0,"Olivia","Johnson","olivia.johnson@email.example","Glasgow Street 82","","Leeds","","LS1 1AA","GB","+44993965373","Olivia","Johnson","olivia.johnson@email.example","Glasgow Street 82","","Leeds","","LS1 1AA","GB","+44993965373",94,,,3,2992.5,8977.5
5,5,"olivia.johnson@email.example","Olivia Johnson","completed","EUR","bacs","Bank Transfer","2025-03-23T00:49:26.393Z","2025-03-23T05:37:15.580Z","2025-03-23T12:46:45.937Z",13555.55,11077.5,2437.05,41,0,"Olivia","Johnson","olivia.johnson@email.example","Glasgow Street 82","","Leeds","","LS1 1AA","GB","+44993965373","Olivia","Johnson","olivia.johnson@email.example","Glasgow Street 82","","Leeds","","LS1 1AA","GB","+44993965373",5,,,2,1050,2100
6,7,"alessia.gallo@email.example","Alessia Gallo","completed","EUR","bacs","Bank Transfer","2023-10-22T20:59:15.934Z","2023-10-23T11:08:13.257Z","2023-10-24T04:15:07.534Z",16072.1,13155,2894.1,23,0,"Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988","Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988",84,,,2,2362.5,4725
6,7,"alessia.gallo@email.example","Alessia Gallo","completed","EUR","bacs","Bank Transfer","2023-10-22T20:59:15.934Z","2023-10-23T11:08:13.257Z","2023-10-24T04:15:07.534Z",16072.1,13155,2894.1,23,0,"Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988","Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988",96,,,1,2625,2625
6,7,"alessia.gallo@email.example","Alessia Gallo","completed","EUR","bacs","Bank Transfer","2023-10-22T20:59:15.934Z","2023-10-23T11:08:13.257Z","2023-10-24T04:15:07.534Z",16072.1,13155,2894.1,23,0,"Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988","Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988",27,,,2,2340,4680
6,7,"alessia.gallo@email.example","Alessia Gallo","completed","EUR","bacs","Bank Transfer","2023-10-22T20:59:15.934Z","2023-10-23T11:08:13.257Z","2023-10-24T04:15:07.534Z",16072.1,13155,2894.1,23,0,"Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988","Alessia","Gallo","alessia.gallo@email.example","Via Napoli 81","","Torino","","00100","IT","+39867387988",64,,,3,375,1125
7,8,"benjamin.rodriguez@email.example","Benjamin Rodriguez","completed","EUR","bacs","Bank Transfer","2024-11-07T06:59:43.965Z","2024-11-07T15:23:19.234Z","2024-11-08T12:48:15.467Z",6615.45,5422.5,1192.95,0,0,"Benjamin","Rodriguez","benjamin.rodriguez@email.example","Leeds Street 33","","Leeds","","EH1 1AA","GB","+44440407961","Benjamin","Rodriguez","benjamin.rodriguez@email.example","Leeds Street 33","","Leeds","","EH1 1AA","GB","+44440407961",4,,,2,1530,3060
7,8,"benjamin.rodriguez@email.example","Benjamin Rodriguez","completed","EUR","bacs","Bank Transfer","2024-11-07T06:59:43.965Z","2024-11-07T15:23:19.234Z","2024-11-08T12:48:15.467Z",6615.45,5422.5,1192.95,0,0,"Benjamin","Rodriguez","benjamin.rodriguez@email.example","Leeds Street 33","","Leeds","","EH1 1AA","GB","+44440407961","Benjamin","Rodriguez","benjamin.rodriguez@email.example","Leeds Street 33","","Leeds","","EH1 1AA","GB","+44440407961",83,,,3,787.5,2362.5
8,8,"benjamin.rodriguez@email.example","Benjamin Rodriguez","completed","EUR","bacs","Bank Transfer","2025-08-07T03:41:45.396Z","2025-08-08T02:34:16.120Z","2025-08-08T22:26:48.450Z",6720.67,5473.5,1204.17,43,0,"Benjamin","Rodriguez","benjamin.rodriguez@email.example","Glasgow Street 48","","Birmingham","","CF1 1AA","GB","+44662751792","Benjamin","Rodriguez","benjamin.rodriguez@email.example","Glasgow Street 48","","Birmingham","","CF1 1AA","GB","+44662751792",44,,,1,1575,1575
8,8,"benjamin.rodriguez@email.example","Benjamin Rodriguez","completed","EUR","bacs","Bank Transfer","2025-08-07T03:41:45.396Z","2025-08-08T02:34:16.120Z","2025-08-08T22:26:48.450Z",6720.67,5473.5,1204.17,43,0,"Benjamin","Rodriguez","benjamin.rodriguez@email.example","Glasgow Street 48","","Birmingham","","CF1 1AA","GB","+44662751792","Benjamin","Rodriguez","benjamin.rodriguez@email.example","Glasgow Street 48","","Birmingham","","CF1 1AA","GB","+44662751792",95,,,2,1949.25,3898.5
9,9,"giulia.costa@email.example","Giulia Costa","completed","EUR","bacs","Bank Transfer","2025-07-12T23:05:10.620Z","2025-07-13T04:29:31.538Z","2025-07-15T13:31:44.609Z",1176,1050,231,0,105,"Giulia","Costa","giulia.costa@email.example","Via Milano 6","","Roma","","16100","IT","+39963971406","Giulia","Costa","giulia.costa@email.example","Via Milano 6","","Roma","","16100","IT","+39963971406",5,,,1,1050,1050
10,10,"chiara.romano@email.example","Chiara Romano","completed","EUR","bacs","Bank Transfer","2025-03-02T23:29:30.330Z","2025-03-03T16:00:28.366Z","2025-03-04T23:55:46.507Z",279.468,209.4,46.068000000000005,24,0,"Chiara","Romano","chiara.romano@email.example","Via Bari 25","","Milano","","40100","IT","+39339222513","Chiara","Romano","chiara.romano@email.example","Via Bari 25","","Milano","","40100","IT","+39339222513",72,,,1,209.4,209.4
11,11,"james.jones@email.example","James Jones","completed","EUR","bacs","Bank Transfer","2024-09-30T20:30:09.110Z","2024-10-01T02:09:29.337Z","2024-10-04T00:47:02.503Z",9548.64,7812,1718.64,18,0,"James","Jones","james.jones@email.example","Liverpool Street 76","","Cardiff","","S1 1AA","GB","+44534687825","James","Jones","james.jones@email.example","Liverpool Street 76","","Cardiff","","S1 1AA","GB","+44534687825",0,,,3,2520,7560
11,11,"james.jones@email.example","James Jones","completed","EUR","bacs","Bank Transfer","2024-09-30T20:30:09.110Z","2024-10-01T02:09:29.337Z","2024-10-04T00:47:02.503Z",9548.64,7812,1718.64,18,0,"James","Jones","james.jones@email.example","Liverpool Street 76","","Cardiff","","S1 1AA","GB","+44534687825","James","Jones","james.jones@email.example","Liverpool Street 76","","Cardiff","","S1 1AA","GB","+44534687825",20,,,1,252,252
12,13,"chloé.bernard@email.example","Chloé Bernard","completed","EUR","bacs","Bank Transfer","2024-07-11T14:10:27.764Z","2024-07-11T15:04:55.275Z","2024-07-13T19:14:34.128Z",8665.05,7102.5,1562.55,0,0,"Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330","Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330",26,,,3,1890,5670
12,13,"chloé.bernard@email.example","Chloé Bernard","completed","EUR","bacs","Bank Transfer","2024-07-11T14:10:27.764Z","2024-07-11T15:04:55.275Z","2024-07-13T19:14:34.128Z",8665.05,7102.5,1562.55,0,0,"Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330","Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330",63,,,1,375,375
12,13,"chloé.bernard@email.example","Chloé Bernard","completed","EUR","bacs","Bank Transfer","2024-07-11T14:10:27.764Z","2024-07-11T15:04:55.275Z","2024-07-13T19:14:34.128Z",8665.05,7102.5,1562.55,0,0,"Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330","Chloé","Bernard","chloé.bernard@email.example","Rue de Bordeaux 39","","Montpellier","","13001","FR","+33205184330",70,,,1,1057.5,1057.5
13,14,"manon.moreau@email.example","Manon Moreau","completed","EUR","bacs","Bank Transfer","2023-09-30T12:45:31.753Z","2023-10-01T01:48:48.728Z","2023-10-04T00:08:21.216Z",14221.2,12697.5,2793.45,0,1269.75,"Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647","Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647",81,,,2,2280,4560
13,14,"manon.moreau@email.example","Manon Moreau","completed","EUR","bacs","Bank Transfer","2023-09-30T12:45:31.753Z","2023-10-01T01:48:48.728Z","2023-10-04T00:08:21.216Z",14221.2,12697.5,2793.45,0,1269.75,"Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647","Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647",53,,,3,2160,6480
13,14,"manon.moreau@email.example","Manon Moreau","completed","EUR","bacs","Bank Transfer","2023-09-30T12:45:31.753Z","2023-10-01T01:48:48.728Z","2023-10-04T00:08:21.216Z",14221.2,12697.5,2793.45,0,1269.75,"Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647","Manon","Moreau","manon.moreau@email.example","Rue de Strasbourg 12","","Toulouse","","75001","FR","+33539955647",9,,,1,1657.5,1657.5
14,15,"chloé.leroy@email.example","Chloé Leroy","completed","EUR","bacs","Bank Transfer","2024-08-09T02:28:48.806Z","2024-08-09T13:16:23.029Z","2024-08-12T05:49:29.773Z",15167.95,12397.5,2727.45,43,0,"Chloé","Leroy","chloé.leroy@email.example","Rue de Nice 19","","Paris","","75001","FR","+33962684091","Chloé","Leroy","chloé.leroy@email.example","Rue de Nice 19","","Paris","","75001","FR","+33962684091",3,,,2,1890,3780
14,15,"chloé.leroy@email.example","Chloé Leroy","completed","EUR","bacs","Bank Transfer","2024-08-09T02:28:48.806Z","2024-08-09T13:16:23.029Z","2024-08-12T05:49:29.773Z",15167.95,12397.5,2727.45,43,0,"Chloé","Leroy","chloé.leroy@email.example","Rue de Nice 19","","Paris","","75001","FR","+33962684091","Chloé","Leroy","chloé.leroy@email.example","Rue de Nice 19","","Paris","","75001","FR","+33962684091",90,,,1,1260,1260
